Name,Datum,IK_Institutionskennzeichen,Standortnummer,Standortnummer_alt,Bettenzahl,Vollstationaere_Fallzahl,Teilstationaere_Fallzahl,Ambulante_Fallzahl,StaeB_Fallzahl,year
Diakonissenkrankenhaus Flensburg,2021-12-14,260100023,773287000,99,400,20775,125,50000,NA,2020
Malteser Krankenhaus St. Franziskus-Hospital,2021-10-28,260100034,771320000,01,384,11515,325,7308,NA,2020
Malteser Krankenhaus St. Franziskus-Hospital - Geriatrische Tagesklinik,2021-10-28,260100034,771321000,02,12,0,107,0,NA,2020
Park-Klinik GmbH,2021-10-29,260100147,773063000,00,24,2166,0,0,NA,2020
Sankt Elisabeth Krankenhaus Kiel,2021-12-10,260100170,771993000,02,43,2613,0,803,NA,2020
Lubinus Clinicum,2021-12-10,260100170,771994000,01,139,5273,0,41221,NA,2020
Klinik Flechsig GmbH,2021-11-15,260100238,771062000,00,30,979,0,472,NA,2020
Kath. Marien-Krankenhaus Lübeck gemeinnützige GmbH,2021-10-29,260100272,772245000,00,52,5597,0,0,NA,2020
DRK-Fachklinik Hahnknüll gGmbH,2021-11-12,260100318,772648000,00,33,268,0,440,NA,2020
Johanniter-Krankenhaus Geesthacht GmbH,2021-11-11,260100432,772342000,01,195,8948,263,4659,NA,2020
Johanniter Tagesklnik Mölln,2021-11-11,260100432,772343000,03,0,0,105,0,NA,2020
Johanniter Tagesklinik Schwarzenbek,2021-11-11,260100432,772344000,02,0,0,83,0,NA,2020
DRK-Krankenhaus Mölln-Ratzeburg gGmbH,2021-11-10,260100454,771582000,00,167,8007,0,14515,NA,2020
"Klinikum Nordfriesland gGmbH, Klinik Husum",2021-11-02,260100476,772465000,01,263,12119,154,11742,NA,2020
"Klinikum Nordfriesland gGmbH, Klinik Niebüll",2021-11-02,260100476,773753000,02,135,4179,47,6836,NA,2020
"Klinikum Nordfriesland gGmbH, Inselklinik Föhr-Amrum",2021-11-02,260100498,772457000,00,18,960,0,2921,NA,2020
DIAKO Nordfriesland gGmbH - Tagesklinik Breklum,2021-10-27,260100546,772750000,NA,0,0,78,72,NA,2020
DIAKO Nordfriesland gGmbH - Tagesklinik Niebüll,2021-10-27,260100546,772751000,04,0,0,70,74,NA,2020
DIAKO Nordfriesland gGmbH - Tagesklinik Husum,2021-10-27,260100546,772752000,NA,0,0,123,129,NA,2020
DIAKO Nordfriesland gGmbH (Fachklinik für Psychiatrie und Psychosomatik Breklum - stationäre Angebote),2021-10-26,260100546,772753000,NA,110,1615,0,0,NA,2020
Asklepios Nordseeklinik Westerland,2021-11-15,260100557,772802000,00,84,4140,0,12669,NA,2020
Klinik Dr. Winkler,2021-12-12,260100580,771651000,00,21,728,0,0,NA,2020
Sana Klinik Middelburg,2021-11-11,260100626,773004000,NA,120,1462,93,0,NA,2020
Sana Kliniken Ostholstein GmbH - Klinik Fehmarn,2021-11-11,260100626,773005000,NA,28,813,0,5764,NA,2020
Sana Kliniken Ostholstein GmbH - Klinik Eutin,2021-11-11,260100626,773006000,01,197,9807,2819,16656,NA,2020
Sana Kliniken Ostholstein GmbH - Klinik Oldenburg,2021-11-11,260100626,773007000,01,166,5698,366,10721,NA,2020
AMEOS Klinikum Neustadt,2021-11-12,260100659,772933000,01,170,1701,0,3137,NA,2020
