"Name","Datum","IK_Institutionskennzeichen","Standortnummer","Standortnummer_alt","Bettenzahl","Vollstationaere_Fallzahl","Teilstationaere_Fallzahl","Ambulante_Fallzahl","StaeB_Fallzahl","year"
"Hochgebirgsklinik Davos","2014-12-14","260000066","00",NA,"74","362","0","1283",NA,2013
"Diakonissenkrankenhaus Flensburg","2014-12-15","260100023","00",NA,"563","25419","158","58581",NA,2013
"Malteser Krankenhaus St. Franziskus-Hospital","2014-12-10","260100034","00",NA,"319","10477","707","5767",NA,2013
"Städtisches Krankenhaus Kiel GmbH","2014-12-10","260100089","00",NA,"602","25138","435","44813",NA,2013
"Sankt Elisabeth Krankenhaus Kiel","2014-12-03","260100125","00",NA,"51","3209","0","0",NA,2013
"Park-Klinik GmbH","2014-12-11","260100147","00",NA,"24","2373","0","0",NA,2013
"Lubinus Clinicum","2014-12-12","260100170","00",NA,"212","6389","0","40196",NA,2013
"Klinik Flechsig Verwaltungsgesellschaft mbH","2014-12-15","260100238","00",NA,"20","1218","0","0",NA,2013
"Kath. Marien-Krankenhaus Lübeck gemeinnützige GmbH","2014-11-24","260100272","00",NA,"63","5952","0","0",NA,2013
"DRK-Fachklinik Hahnknüll gGmbH","2014-12-08","260100318","00",NA,"30","342","0","0",NA,2013
"Klinik Dr. Lehmann","2014-12-12","260100329","00",NA,"5","461","0","0",NA,2013
"Johanniter-Krankenhaus Geesthacht (KH)","2014-12-11","260100432","01",NA,"249","11333","647","16645",NA,2013
"Tagesklinik Schwarzenbek
c/o Johanniter-Krankenhaus Geesthacht GmbH","2014-12-11","260100432","02",NA,"16","0","156","0",NA,2013
"Tagesklinik Mölln
c/o Johanniter-Krankenhaus Geesthacht GmbH","2014-12-11","260100432","03",NA,"15","0","223","0",NA,2013
"Johanniter-Krankenhaus Geesthacht (KH)","2014-12-11","260100432","99",NA,"280","11333","1026","16645",NA,2013
"DRK-Krankenhaus Mölln-Ratzeburg gGmbH","2014-12-15","260100454","00",NA,"184","8895","0","0",NA,2013
"Klinikum Nordfriesland gGmbH","2014-12-02","260100476","99",NA,"253","11715","0","0",NA,2013
"Klinikum Nordfriesland gGmbH, Klinik Husum","2014-12-02","260100476","99",NA,"108","6043","0","0",NA,2013
"Klinikum Nordfriesland gGmbH, Klinik Husum","2014-12-03","260100476","99",NA,"33","1897","0","0",NA,2013
"Klinikum Nordfriesland gGmbH","2014-12-04","260100476","99",NA,"394","19655","476","0",NA,2013
