"Name","Adresse","year","Land","Kreis","Gemeinde","Traeger","EinrichtungsTyp","latitude","longitude","Ungefähre_Adresse.x","coordinates"
"Klinikum Saarbrücken, NA, NA, NA","Winterberg 1, 66119, Saarbrücken",2016,"10","041","100",3,"2",49.22075975,6.99636212389635,NA,NA
"Saarland Kliniken, Kreuznacher Diakonie, Ev. Stadtkrankenhaus Saarbrücken, NA","Großherzog-Friedrich-Str. 44, 66111, Saarbrücken",2016,"10","041","100",4,"2",49.232725,7.00356382512071,NA,NA
"Saar-Mosel-Klinik, NA, NA, NA","Karlstraße 67, 66125, Saarbrücken",2016,"10","041","100",5,"4",49.27386,7.00925549298997,NA,NA
"SHG-Kliniken Sonnenberg, NA, NA, NA","Sonnenbergstraße, 66119, Saarbrücken",2016,"10","041","100",3,"2",49.2007295,7.0131879,NA,NA
"Knappschaftsklinikum Saar GmbH, Krankenhaus Püttlingen, NA, NA","In der Humes 35, 66346, Püttlingen",2016,"10","041","515",3,"2",49.2767358,6.86839200627401,NA,NA
"Knappschaftsklinikum Saar GmbH, Krankenhaus Sulzbach, NA, NA","An der Klinik 10, 66280, Sulzbach/Saar",2016,"10","041","518",3,"2",49.29773425,7.05471396963028,NA,NA
"SHG-Kliniken Völklingen, NA, NA, NA","Richardstraße 5-9, 66333, Völklingen",2016,"10","041","519",3,"2",49.25725875,6.85254116576256,NA,NA
"Klinikum Merzig, NA, NA, NA","Trierer Str. 148, 66663, Merzig",2016,"10","042","113",3,"2",49.4589877,6.62893271756335,NA,NA
"Marienhauskliniken, Wadern/Losheim, NA, NA","Elisabethstr. 1, 66687, Wadern",2016,"10","042","116",4,"2",49.5399528,6.8961578,NA,NA
"Diakonie Klinikum Neunkirchen, NA, NA, NA","Brunnenstr. 20, 66538, Neunkirchen",2016,"10","043","114",4,"2",49.3409199,7.1827367,NA,NA
"Marienhausklinik, St. Josef Kohlhof, NA, NA","Klinikweg 1-5, 66539, Neunkirchen-Kohlhof",2016,"10","043","114",4,"2",49.31775555,7.22701531610115,NA,NA
"Saarland Kliniken, Kreuznacher Diakonie, Fliedner Krankenhaus Neunkirchen, NA","Theodor-Fliedner-Straße 12, 66538, Neunkirchen",2016,"10","043","114",4,"2",49.34829345,7.18580335574766,NA,NA
"Marienhausklinik Ottweiler, NA, NA, NA","Hohlstraße 2-4, 66564, Ottweiler",2016,"10","043","115",4,"2",49.4014971,7.16729774589143,NA,NA
"Marienhaus Klinikum Saarlouis-, Dillingen, NA, NA","Kapuzinerstraße 4, 66740, Saarlouis",2016,"10","044","115",4,"2",49.31523635,6.75648717332362,NA,NA
"Marienkrankenhaus, St. Wendel, NA, NA","Am Hirschberg, 66606, St. Wendel",2016,"10","046","117",4,"2",49.4550647,7.1769018,NA,NA
