Name,Datum,IK_Institutionskennzeichen,Standortnummer,Standortnummer_alt,Adresse,Strasse,Hausnummer,Postleitzahl,Ort,URL_Zugang,Traegername,Traegerart,POC_Vorname,POC_Nachname,POC_Funktion_Arbeitsschwerpunkt,POC_Telefon_Vorwahl,POC_Telefon_Rufnummer,POC_Telefon_Durchwahl,POC_Fax_Vorwahl,POC_Fax_Rufnummer,POC_Fax_Durchwahl,POC_Email,year
Hochgebirgsklinik Davos,2011-07-14,"260000066, 510000248",00,NA,"Herman-Burchard-Str., 1, 07265, Davos Wolfgang",Herman-Burchard-Str.,1,07265,Davos Wolfgang,http://www.hochgebirgsklinik.ch,Stiftung Deutsche Hochgebirgsklinik Davos,privat,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2010
Diakonissenkrankenhaus Flensburg,2011-12-20,"260100023, 512100210, 510106995, 201304613",00,NA,"Knuthstraße, 1, 24939, Flensburg",Knuthstraße,1,24939,Flensburg,http://www.diako.de,Ev.-Luth. Diakonissenanstalt zu Flensburg,freigemeinnützig,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2010
Malteser Krankenhaus St. Franziskus-Hospital,2011-07-13,260100034,00,NA,"Waldstraße, 17, 24939, Flensburg",Waldstraße,17,24939,Flensburg,http://www.malteser-franziskus.de,Malteser St. Franziskus gGmbH,freigemeinnützig,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2010
Städtisches Krankenhaus Kiel GmbH,2011-12-14,260100089,00,NA,"Chemnitzstr., 33, 24116, Kiel",Chemnitzstr.,33,24116,Kiel,http://www.krankenhaus-kiel.de,Landeshauptstadt Kiel,öffentlich,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2010
Sankt Elisabeth Krankenhaus Kiel,2011-07-01,260100125,00,NA,"Königsweg, 8, 24103, Kiel",Königsweg,8,24103,Kiel,http://www.sek-kiel.de,Katholische Wohltätigkeitsanstalt zur heiligen Elisabeth,freigemeinnützig,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2010
Park-Klinik,2011-06-28,260100147,00,NA,"Goethestraße, 11, 24116, Kiel",Goethestraße,11,24116,Kiel,http://www.park-klinik.de,Park-Klinik GmbH (Handelsregister Kiel HRB 130),privat,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2010
Lubinus Clinicum,2011-07-13,260100170,00,NA,"Steenbeker Weg, 25, 24106, Kiel",Steenbeker Weg,25,24106,Kiel,http://www.lubinus-clinicum.de,Lubinus-Stiftung,gemeinnützig,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2010
Klinik Flechsig,2011-07-15,260100238,00,NA,"Chemnitz Str., 33, 24116, Kiel",Chemnitz Str.,33,24116,Kiel,https://www.Klinik-Flechsig.de,Klinik Flechsig  Fachärzte für HNO,privat,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2010
Kath. Marien-Krankenhaus Lübeck gGmbH,2011-12-20,260100272,00,NA,"Parade, 3, 23552, Lübeck",Parade,3,23552,Lübeck,http://www.marien-krankenhaus.de,ANSGAR-Gruppe,freigemeinnützig,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2010
DRK-Fachklinik Hahnknüll gGmbH,2011-07-11,260100318,00,NA,"Hahnknüll, 58, 24537, Neumünster",Hahnknüll,58,24537,Neumünster,http://www.drk-hahnknuell.de,DRK-Fachklinik Hahnknüll gGmbH,freigemeinnützig,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2010
Klinik Dr. Lehmann,2011-07-14,260100329,00,NA,"Marienstr., 49-51, 24534, Neumünster",Marienstr.,49-51,24534,Neumünster,http://www.lehmannklinik.de/,FEK-Friedrich-Ebert-Krankenhaus Neumünster GmbH,öffentlich,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2010
Joh. KH Geesthacht,2011-07-14,260100432,00,NA,"Am Runden Berge, 3, 21502, Geesthacht",Am Runden Berge,3,21502,Geesthacht,http://www.johanniter-krankenhaus.de,Johanniter Gesellschaft für Krankenpflege im Kreis Herzogtum Lauenburg gemeinnützige Betriebs-GmbH,freigemeinnützig,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2010
DRK-Krankenhaus Mölln-Ratzeburg gGmbH,2011-07-13,260100454,00,NA,"Röpersberg, 2, 23909, Ratzeburg",Röpersberg,2,23909,Ratzeburg,http://www.drk-krankenhaus.de,DRK-Krankenhaus Mölln-Ratzeburg gGmbH,freigemeinnützig,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2010
"Klinikum Nordfriesland gGmbH, Klinik Husum",2011-12-16,260100476,01,NA,"Erichsenweg, 16, 25813, Husum",Erichsenweg,16,25813,Husum,http://www.klinikum-nf.de,Kreis Nordfriesland,öffentlich,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2010
"Klinikum Nordfriesland gGmbH, Klinik Niebüll",2011-12-16,260100476,02,NA,"Gather Landstraße, 75, 25899, Niebüll",Gather Landstraße,75,25899,Niebüll,http://www.klinikum-nf.de,Kreis Nordfriesland,öffentlich,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2010
"Klinikum Nordfriesland gGmbH, Klinik Tönning",2011-12-16,260100476,03,NA,"Selckstraße, 13, 25832, Tönning",Selckstraße,13,25832,Tönning,http://www.klinikum-nf.de,Kreis Nordfriesland,öffentlich,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2010
"Klinikum Nordfriesland gGmbH, Inselklinik Föhr-Amrum",2011-12-16,260100498,00,NA,"Rebbelstieg, 24, 25938, Wyk auf Föhr",Rebbelstieg,24,25938,Wyk auf Föhr,http://www.klinikum-nf.de,Kreis Nordfriesland,öffentlich,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2010
Fachkliniken Nordfriesland gGmbH,2011-07-13,260100546,00,NA,"Krankenhausweg, 3, 25821, Bredstedt",Krankenhausweg,3,25821,Bredstedt,http://www.fklnf.de,Fachkliniken Nordfriesland gGmbH,freigemeinnützig,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2010
Asklepios Nordseeklinik Westerland/Sylt,2011-07-14,260100557,00,NA,"Norderstr., 81, 25980, Sylt/OT Westerland",Norderstr.,81,25980,Sylt/OT Westerland,http://www.asklepios.com/sylt,Asklepios Kliniken Verwaltungsgesellschaft mbH,privat,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2010
Klinik Dr. Winkler,2011-12-15,260100580,00,NA,"Brinckmannstraße, 6, 25813, Husum",Brinckmannstraße,6,25813,Husum,http://www.klinik-winkler.de,KLW Krankenhausbetriebsgesellschaft mbH & Co. KG,privat,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2010
Sana Kliniken Ostholstein - Klinik Fehmarn (Chirurgische Notfallambulanz),2011-06-14,260100626,03,NA,"Klaus-Groth-Straße , 2, 23769, Fehmarn, OT Burg",Klaus-Groth-Straße ,2,23769,"Fehmarn, OT Burg",http://www.sana-oh.de,Sana Kliniken Ostholstein GmbH,privat,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2010
Sana Kliniken Ostholstein GmbH - Klinik Eutin,2011-05-31,260100626,01,NA,"Hospitalstraße, 22, 23701, Eutin",Hospitalstraße,22,23701,Eutin,http://www.sana-oh.de,Sana Kliniken Ostholstein GmbH,privat,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2010
Sana Kliniken Ostholstein GmbH  - Klinik Oldenburg,2011-06-20,260100626,02,NA,"Mühlenkamp, 5, 23758, Oldenburg",Mühlenkamp,5,23758,Oldenburg,http://www.sana-oh.de,Sana Kliniken Ostholstein GmbH,privat,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2010
